index,company,wheel-base,min-man normalization,z-score,length,min-man normalization,z-score,horsepower,min-man normalization,z-score,average-mileage,min-man normalization,z-score,price,min-man normalization,z-score
0,alfa-romero,88.6,-0.30406052963429997,-1.4917842912394124,168.8,-0.0641546366528027,-0.30909142238776055,111,0.01311475409836067,0.059293746600674074,21,-0.14127290260366437,-0.5957253697677585,13495.0,-0.04700737906531839,-0.16859368582899867
1,alfa-romero,88.6,-0.30406052963429997,-1.4917842912394124,168.8,-0.0641546366528027,-0.30909142238776055,111,0.01311475409836067,0.059293746600674074,21,-0.14127290260366437,-0.5957253697677585,16500.0,0.027652860940644487,0.09917799805902512
2,alfa-romero,94.5,-0.12252206809583824,-0.6011187862343272,171.2,-0.028333741130414983,-0.1365094840293818,154,0.19228142076502733,0.869332795213007,19,-0.2000964320154291,-0.8437748411386341,16500.0,0.027652860940644487,0.09917799805902512
3,audi,99.8,0.04055485498108475,0.19897056571939217,176.6,0.05226327379495824,0.25179987727697456,102,-0.02438524590163933,-0.11024931008562816,24,-0.053037608486017324,-0.22365116271144508,13950.0,-0.0357027503788914,-0.12804922121367393
4,audi,99.4,0.028247162673392705,0.13858646368515046,176.6,0.05226327379495824,0.25179987727697456,115,0.029781420765027336,0.1346462162390306,18,-0.22950819672131145,-0.9677995768240719,17450.0,0.051255931824393156,0.18383127582728556
5,audi,99.8,0.04055485498108475,0.19897056571939217,177.3,0.06271103498898833,0.3021362759648367,110,0.008948087431694004,0.04045562919108493,19,-0.2000964320154291,-0.8437748411386341,15250.0,-0.003403811274814281,-0.012207893741317557
6,audi,105.8,0.22517023959646937,1.1047320962330374,192.7,0.2925617812576447,1.4095370470977762,110,0.008948087431694004,0.04045562919108493,19,-0.2000964320154291,-0.8437748411386341,18920.0,0.08777857834977267,0.31482108458448854
9,bmw,101.2,0.083631778058008,0.41031492283924353,176.8,0.05524834842182416,0.2661817054735075,101,-0.028551912568305995,-0.12908742749521732,23,-0.08244937319189968,-0.3476758983968829,16430.0,0.025913687296578797,0.09294038811820593
10,bmw,101.2,0.083631778058008,0.41031492283924353,176.8,0.05524834842182416,0.2661817054735075,101,-0.028551912568305995,-0.12908742749521732,23,-0.08244937319189968,-0.3476758983968829,16925.0,0.03821212949390047,0.13704920127114162
11,bmw,101.2,0.083631778058008,0.41031492283924353,176.8,0.05524834842182416,0.2661817054735075,121,0.05478142076502734,0.24767492069656544,21,-0.14127290260366437,-0.5957253697677585,20970.0,0.13871152078312504,0.49749394713705053
13,bmw,103.5,0.15440100882723867,0.7575235095361404,189.0,0.23733790066062996,1.1434732254619404,182,0.308948087431694,1.3968000826815028,16,-0.28833172613307617,-1.2158490481949475,30760.0,0.3819473775745981,1.3698682517173344
14,bmw,103.5,0.15440100882723867,0.7575235095361404,193.8,0.30897969170540623,1.4886371021787022,182,0.308948087431694,1.3968000826815028,16,-0.28833172613307617,-1.2158490481949475,41315.0,0.644189917761932,2.310410722079428
